Regiones,Casos
PARIS,39
SAN FRANCISCO (PANAMA),6506
JUAN DIAZ (PANAMA),7738
LAS CUMBRES,4962
JUAN DEMOSTENES AROSEMENA,5946
AMELIA DENIS DE ICAZA,4815
BETANIA,4778
ERNESTO CORDOBA CAMPOS,5658
OMAR TORRIJOS,4195
NUEVO EMPERADOR,1127
BELLA VISTA (PANAMA),3838
RUFINA ALFARO,4078
CHILIBRE,4737
BARRIO COLON,4211
BELISARIO PORRAS,5357
ANCON,3181
ARRAIJAN,8243
ALCALDE DIAZ,5527
BARRIO NORTE,719
PACORA,6323
VERACRUZ,2338
VISTA ALEGRE,8506
SONA,1601
JOSE DOMINGO ESPINAR,3902
GUADALUPE,4155
OBALDIA,28
SANTIAGO,4042
PUEBLO NUEVO,2332
ARNULFO ARIAS,2534
PARQUE LEFEVRE,4327
HERRERA,2047
RIO ABAJO,3378
PEDREGAL (PANAMA),5517
SANTA RITA (PANAMA OESTE),140
DON BOSCO,4104
SAN ANTONIO,448
PLAYA LEONA,2482
SANTA ANA (PANAMA),1935
CERRO SILVESTRE,2914
BARRIO BALBOA,3156
SAN FELIPE,228
TOCUMEN,8823
PONUGA,108
PUERTO CAIMITO,3786
CHEPO (PANAMA ESTE),2877
CAÑAVERAL (COCLE),511
TORTI,736
24 DE DICIEMBRE,7392
POCRI (COCLE),640
CRISTOBAL,3053
TIJERAS,102
LIDICE,566
CATIVA,2270
CALIDONIA (PANAMA),2244
CAIMITILLO,1887
MONTIJO,327
EDWIN FABREGA,260
HICACO,58
SANTO TOMAS,58
ASERRIO DE GARICHE,695
RIO HATO,1002
MATEO ITURRALDE,1567
EL COCO (COCLE),447
LAS MAÑANITAS,4552
NUEVA ESPERANZA,202
POTUGA,48
AGUADULCE,1096
ALTO BOQUETE,485
DAVID,5134
BELISARIO FRIAS,5257
SABANITAS,1793
VILLA ROSARIO,423
SAN JUAN (COLON),1522
SAN MARTIN DE PORRES (SANTIAGO),1283
SAN PABLO VIEJO,852
VICTORIANO LORENZO,1676
BURUNGA,4307
CURUNDU,1533
AMADOR,188
AILIGANDI,588
EL LLANO,146
CAPIRA,729
NATA,911
PUERTO PILON,915
EL CHORRILLO,2024
PENONOME,2194
EL COCO (PANAMA OESTE),2083
SANTA MARTA (CHIRIQUI),244
EL AROMILLO,18
ATALAYA,699
SAN FELIX,251
PLAZA CAISAN,140
NARGANA,503
LA COLORADA (VERAGUAS),122
BISVALLES,92
CAÑAZAS,611
LOS POZOS,217
REMEDIOS,76
LA PEÑA (VERAGUAS),337
NUEVA PROVIDENCIA,594
MARIA CHIQUITA,207
SABANA GRANDE (LOS SANTOS),64
TUBUALA,219
NUEVA CALIFORNIA,204
PAJONAL (COCLE),614
NUEVA GORGONA,163
GUALACA,607
PEDREGAL (DAVID),1239
LAS LOMAS (CHIRIQUI),2146
LOS ALGARROBOS (CHIRIQUI),1291
CAÑITA,261
PUERTO ARMUELLES,1346
BUENA VISTA (COLON),1339
SAN MARTIN (PANAMA ESTE),614
SAN ISIDRO (CHIRIQUI),167
RIO DE JESUS,198
LA PINTADA,244
CHIRIQUI,391
CHEPO (HERRERA),73
VOLCAN,794
CERRO PUNTA,250
PASO ANCHO,166
SANTA CLARA (PANAMA OESTE),237
LAS GARZAS,1186
SAN CARLOS (CHIRIQUI),264
ALANJE,347
COMARCA WARGANDI,30
VILLARREAL,58
CERRO CAÑA,12
SANTA FE (DARIEN),1028
NUEVO SANTIAGO,526
LA ARENA (CHITRE),549
PESE,291
EL LIMON,78
LA VILLA DE LOS SANTOS,474
GUABITO,288
PUNTA CHAME,24
CUCUNATI,88
METETI,1894
EL CUAY,39
EL HIGO (VERAGUAS),116
EL PORVENIR,63
FINCA 30,201
DIVALA,342
LA ESTRELLA,289
LAJAS BLANCAS,230
YAVIZA,653
RIO SABALO,94
EL VALLE,518
EL PAJARO,11
MONAGRILLO,1006
EL CHIRU,204
EL ARADO,537
LAS MARGARITAS,394
LOS DIAZ,76
SAN JUAN (CHIRIQUI),130
CANTO DEL LLANO,1122
RODRIGO LUQUE,570
PUERTO PIÑA,99
SAN PEDRO DEL ESPINO,152
EL HIGO (PANAMA OESTE),169
COSTA HERMOSA,172
BOQUERON,643
LA PALMA (DARIEN),340
LA LAGUNA (VERAGUAS),15
CERMEÑO,117
FEUILLET,310
EL EJIDO,70
BAHIA HONDA (VERAGUAS),34
SAJALICES,236
LAS OLLAS ARRIBA,117
BEJUCO,452
CAÑAS GORDAS,138
ZAPALLAL,90
RIO INDIO (COLON),32
BARRIOS UNIDOS,874
CAIMITO (PANAMA OESTE),168
RODOLFO AGUILAR DELGADO,631
BAJO BOQUETE,280
BAGALA,292
MANUEL ORTEGA,22
SALAMANCA,244
EL EMPALME,652
SOLOY,201
CABALLERO,135
SANTO DOMINGO (CHIRIQUI),186
BARRIO SUR,355
PALMAS BELLAS,71
LOS ALGARROBOS (VERAGUAS),291
AGUA FRIA,158
SAN JUAN BAUTISTA,760
MIRAMAR (BOCAS DEL TORO),64
BUGABA,1243
EL MARAÑON,180
MACARACAS,204
LEONES (HERRERA),16
EL ESPINO,133
CHANGUINOLA,1403
CHAME,406
LAS PALMAS (VERAGUAS),191
OLA,93
CAMPANA,213
BOCA DE CUPE,81
ALMIRANTE,407
LA MESA (VERAGUAS),353
LA COLORADA (LOS SANTOS),55
LA REPRESA,33
CHIRIQUI GRANDE,307
BARRIADA GUAYMI,146
MENDOZA,142
CARLOS SANTANA AVILA,301
LA TRINCHERA,41
BURI,86
RIO GRANDE (VERAGUAS),73
LIMON,261
LLANO DE PIEDRA,51
LA PAVA,77
EL BARRERO,83
EL ROBLE,431
SAN JOSE DEL GENERAL,92
TUWAI,138
SANTA MARIA,277
LOS OLIVOS,50
GUARUMAL (VERAGUAS),121
EL HARINO,247
PUNTA PEÑA,81
EL TEJAR,131
LOS MILAGROS,69
DAVID SUR,1437
TEBARIO,35
ANTON,917
NUEVO MEXICO,98
LAS TABLAS (BOCAS DEL TORO),189
BISIRA,93
PROGRESO,922
LA LAGUNA (PANAMA OESTE),91
LA PASERA,32
TOABRE,368
SAMBOA,8
LA CONCEPCION,1813
NIBA,7
RAMBALA,131
EL HATO DE SAN JUAN DE DIOS,90
PORTOBELO,436
