,REGION,Lat,Lon
0,HERRERA,9.4165,-82.5207
1,METROPOLITANA,9.4165,-82.5207
2,PANAMA NORTE,8.3971129,-82.3223443
3,PANAMA OESTE,8.3971129,-82.3223443
4,SAN MIGUELITO,8.4604873,-80.4305652
5,COLON,8.4604873,-80.4305652
6,PANAMA ESTE,9.3553005,-79.8974085
7,VERAGUAS,9.3553005,-79.8974085
8,COCLE,8.2158991,-78.0172551
9,CHIRIQUI,8.2158991,-78.0172551
10,GUNA YALA,9.057822904338451,-77.89447750948364
11,LOS SANTOS,9.057822904338451,-77.89447750948364
12,DARIEN,7.8432774,-80.7587705
13,NGOBE BUGLE,7.8432774,-80.7587705
14,BOCAS DEL TORO,7.8773471,-80.4290617
